,Peak 1,Peak 2,Peak 3,Peak 4
Blue,87.773,36.523,2.038,2.548
Green,10.597,56.004,1.280,0.519
Purple,1.376,6.333,93.122,26.131
Orange,0.254,1.140,3.560,70.802
