L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
2.63e+37,5.29e+36,2.68e+38,1.88e+38,4.1e+39,2.89e+39
5.05e+37,1.02e+37,5.22e+38,3.49e+38,8e+39,5.35e+39
6.16e+40,1.2e+40,7.34e+41,2.54e+41,1.13e+43,3.92e+42
7.3e+35,1.51e+35,6.93e+36,6.26e+36,1.06e+38,9.6e+37
1e+38,2e+37,1.05e+39,6.63e+38,nan,nan
