,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,9.673,22.038,25.957,24.499,15.745,0.580
Continuum_2,2.279,17.540,12.465,9.381,1.308,4.482
Continuum_3,4.022,20.911,4.245,2.679,5.408,0.773
