,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,1.351,24.774,10.031,7.400,3.227,0.615
Continuum_2,1.202,24.505,10.234,6.926,3.908,0.571
Continuum_3,0.930,20.977,10.267,6.690,3.737,0.572
