,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6
Continuum_1,0.140,1.124,0.386,0.302,0.205,1.061
Continuum_2,0.527,1.397,0.821,0.738,2.989,0.127
Continuum_3,0.231,1.003,2.418,2.497,0.691,0.741
