,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,32.363,1.452,0.000,0.000,0.000
Green,26.489,48.232,0.000,0.000,0.000
Purple,24.775,35.630,96.953,4.597,2.239
Orange,16.373,14.686,3.047,95.393,68.979
Chocolate,0.000,0.000,0.000,0.009,28.782
