,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,36.911,0.238,0.000,0.000,0.000
Green,15.907,51.890,0.000,0.000,0.000
Purple,26.874,33.989,98.954,7.226,1.177
Orange,20.307,13.884,1.046,90.394,20.048
Chocolate,0.000,0.000,0.000,2.380,78.776
