,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,64.401,5.664,0.001,0.000,0.000
Green,15.394,64.937,0.000,0.000,0.000
Purple,12.891,22.755,99.077,3.949,1.035
Orange,7.314,6.644,0.921,96.051,50.953
Chocolate,0.000,0.000,0.000,0.000,48.012
