,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,19.674,0.877,0.000,0.000,0.000
Green,1.409,20.501,0.000,0.000,0.000
Purple,38.800,44.047,88.267,3.399,2.925
Orange,40.113,34.571,11.732,96.516,87.991
Chocolate,0.004,0.004,0.001,0.085,9.084
