,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,19.895,5.461,0.000,0.000,0.000
Green,19.939,25.383,0.000,0.000,0.000
Purple,28.599,37.465,89.104,3.772,2.208
Orange,31.567,31.692,10.896,96.228,65.080
Chocolate,0.000,0.000,0.000,0.000,32.712
