,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,27.779,3.623,0.000,0.000,0.000
Green,22.789,47.413,0.000,0.000,0.000
Purple,28.404,34.388,98.706,7.220,1.356
Orange,21.028,14.576,1.294,87.864,23.025
Chocolate,0.000,0.000,0.000,4.916,75.618
