,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,35.943,0.419,0.000,0.000,0.000
Green,24.375,47.426,0.000,0.000,0.000
Purple,23.798,37.499,97.272,3.675,1.779
Orange,15.884,14.656,2.728,96.297,57.110
Chocolate,0.000,0.000,0.000,0.028,41.110
