,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,50.167,12.425,0.002,0.000,0.000
Green,26.740,58.467,0.000,0.000,0.000
Purple,14.966,22.425,98.799,3.874,1.291
Orange,8.127,6.683,1.199,96.121,60.943
Chocolate,0.000,0.000,0.000,0.005,37.766
