,Peak 1,Peak 2,Peak 3,Peak 4
Blue,81.992,37.664,2.089,2.966
Green,13.572,51.921,2.430,2.852
Purple,2.905,7.315,91.042,26.716
Orange,1.531,3.101,4.438,67.466
