,Peak 1,Peak 2,Peak 3,Peak 4,Peak 5
Blue,90.527,4.622,1.733,2.149,6.444
Green,7.942,81.379,5.509,1.739,1.656
Magenta,0.778,11.988,85.105,14.084,1.180
Orange,0.752,2.011,7.653,82.028,89.743
Chocolate,0.000,0.000,0.000,0.000,0.978
