,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.019,0.010,0.009,0.011,0.004
Continuum_2,0.015,0.008,0.006,0.009,0.003
Continuum_3,0.008,0.006,0.005,0.006,0.003
