,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.287,0.169,0.123,0.200,0.030
Continuum_2,0.177,0.169,0.093,0.166,0.029
Continuum_3,0.108,0.139,0.079,0.128,0.027
