Name,Flux,Error flux
Hgamma,1.9113485287275045,0.18868345514143373
Hbeta,5.111478216384324,0.46634592593348145
Halpha,23.064736713425475,0.5692208441234932
[SII]6716,3.1608559570966883,0.13046701004049394
[SII]6731,2.619809675061915,0.11449570636751606
HeII4687,0.06082329247997136,0.01737658922467366
HeI5876,0.638374600556295,0.06032364797987815
[OIII]5007_d,5.204319739537148,0.27943181713307486
[OI]6300_d,0.5421211233315923,0.033814347485609096
[NII]6583_d,8.689550359899677,0.17431298730024616
