,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.017,0.019,0.023,0.031,0.032
Continuum_2,0.013,0.014,0.017,0.027,0.025
Continuum_3,0.011,0.012,0.014,0.022,0.020
