,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.110,0.158,0.697,0.477
Continuum_2,0.093,0.137,0.619,0.421
Continuum_3,0.074,0.113,0.534,0.363
