,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,6.995,9.259,22.245,18.284
Continuum_2,7.857,11.547,22.904,19.321
Continuum_3,7.490,10.560,24.035,19.978
