,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.043,0.033,0.044,0.051,0.042
Continuum_2,0.036,0.028,0.038,0.042,0.034
Continuum_3,0.036,0.029,0.034,0.055,0.034
