,Component 1,Component 2,Component 3,Component 4,Component 5
I_e error,0.1454,0.1365,0.3539,0.0754,0.1589
r_e error,48.6660,2.4705,1.0715,21.0628,2.6406
n error,2.2993,0.3999,1.6046,0.1324,0.2489
x_0 error,0.0195,0.1782,0.4218,11.7750,0.4285
