,Component 1,Component 2,Component 3,Component 4
I_e,0.0097,0.6467,0.1095,0.0815
r_e,143.2412,4.3642,2.4032,4.3970
n,3.6489,0.7072,0.9133,0.0319
x_0,61.0028,95.6780,19.5398,51.5121
