,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8,Component 9
I_e,0.4067,0.2654,0.0186,0.0133,0.1097,0.0355,0.5729,0.2551,0.4007
r_e,0.4923,3.7267,9.9559,27.4594,4.6292,59.5262,3.9510,6.4478,4.1479
n,1.4257,1.7113,2.1988,2.7100,1.4663,0.1751,0.2489,0.2022,1.0497
x_0,61.3910,97.3663,19.5894,49.1296,53.7673,82.8595,91.8091,74.7008,60.9048
