,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6,Component 7,Component 8
I_e,0.3126,0.4082,0.0098,0.0719,0.0453,1.1914,0.5472,0.0757
r_e,3.7874,2.7288,20.4289,3.6781,12.3747,0.0003,3.5995,31.1119
n,1.5118,1.4050,2.5886,1.5876,2.0216,4.7253,0.2135,0.9593
x_0,61.0560,97.3617,19.5702,49.1231,53.8361,78.1727,91.9669,72.4144
