,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e error,0.3979,0.0963,0.0350,3.2062,0.0833,0.4706
r_e error,1.3231,1.2142,73.4051,0.8032,7.1463,4.0048
n error,0.5297,0.2786,3.4924,6.7662,0.5256,0.0897
x_0 error,0.1099,0.2030,0.0262,0.3097,0.4136,1.4480
