,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.5595,0.2525,0.0092,0.4236,0.1037,0.1423
r_e,2.6975,5.7214,27.1652,0.8362,14.1756,16.8395
n,1.0932,1.5482,2.5517,0.3091,1.4780,0.0471
x_0,61.1541,96.8697,19.6102,48.9047,53.6522,82.0950
