,SNR,SNR,SNR,SNR,Signal,Signal,Signal,Signal,Noise,Noise,Noise,Noise
,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,11.435,23.544,18.392,14.183,0.165,0.816,0.359,0.168,0.014,0.035,0.020,0.012
Continuum_2,15.072,22.187,14.988,13.794,0.218,0.797,0.315,0.151,0.014,0.036,0.021,0.011
Continuum_3,16.474,28.563,20.568,16.512,0.232,0.715,0.271,0.132,0.014,0.025,0.013,0.008
