,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.014,0.035,0.020,0.012
Continuum_2,0.014,0.036,0.021,0.011
Continuum_3,0.014,0.025,0.013,0.008
