,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.215,0.107,0.345,0.092
Continuum_2,0.197,0.132,0.361,0.125
Continuum_3,0.155,0.108,0.349,0.108
