,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.181,0.108,0.307,0.084
Continuum_2,0.181,0.133,0.355,0.115
Continuum_3,0.149,0.110,0.341,0.097
