,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.087,0.144,0.306,0.063
Continuum_2,0.092,0.156,0.321,0.087
Continuum_3,0.068,0.128,0.279,0.075
