Name,Flux,Error flux
Hgamma,1.0347100701011918,0.10354558552085535
Hbeta,2.613812080866817,0.22655605025399564
Halpha,11.912743871171156,0.17351382894953346
[SII]6716,1.7295111547672526,0.07497574013325008
[SII]6731,1.370692289073549,0.05086277813837981
HeII4687,0.003820778005213508,0.010977909606467138
HeI5876,0.3498188356209833,0.01959346337503282
[OIII]5007_d,2.557451018474667,0.11551001858573776
[OI]6300_d,0.3044321583537864,0.02603532836595877
[NII]6583_d,4.630859472558402,0.10108620244403649
