,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,5.065,3.338,8.439,2.782
Continuum_2,9.564,7.171,15.669,5.979
Continuum_3,9.742,7.511,19.866,7.437
