,SNR,Signal,Noise
Spettro_1,4.797,0.087,0.018
Spettro_2,5.607,0.121,0.022
Spettro_3,41.021,0.630,0.015
Spettro_4,93.038,1.527,0.016
Spettro_5,99.977,1.922,0.019
Spettro_6,90.595,2.896,0.032
Spettro_7,163.839,20.811,0.127
Spettro_8,156.463,7.287,0.047
Spettro_9,38.022,1.313,0.035
Spettro_10,16.858,0.375,0.022
Spettro_11,1.306,0.043,0.033
Spettro_12,2.220,0.069,0.031
Spettro_13,4.561,0.140,0.031
Spettro_14,9.169,0.316,0.034
Spettro_15,13.498,0.407,0.030
Spettro_16,1.293,0.049,0.038
Spettro_17,2.430,0.065,0.027
Spettro_18,2.134,0.056,0.026
Spettro_19,1.620,0.030,0.019
Spettro_20,-0.424,-0.010,0.024
Spettro_21,1.141,0.023,0.020
Spettro_22,1.360,0.044,0.032
Spettro_23,1.397,0.034,0.025
Spettro_24,2.075,0.037,0.018
