,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_21,Spectrum_22,Spectrum_23,Spectrum_24
Continuum_1,0.013,0.015,0.022,0.047,0.073,0.080,0.150,0.125,0.080,0.097,0.128,0.163,0.219,0.145,0.100,0.075,0.054,0.040,0.036,0.034,0.027,0.024,0.024,0.017
Continuum_2,0.015,0.017,0.022,0.039,0.058,0.069,0.124,0.095,0.076,0.092,0.120,0.151,0.202,0.130,0.096,0.071,0.053,0.040,0.036,0.034,0.029,0.026,0.022,0.017
Continuum_3,0.013,0.015,0.019,0.030,0.046,0.057,0.098,0.070,0.068,0.085,0.109,0.135,0.178,0.114,0.087,0.063,0.048,0.036,0.033,0.030,0.026,0.024,0.020,0.016
