,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5,Spectrum_6,Spectrum_7,Spectrum_8,Spectrum_9,Spectrum_10,Spectrum_11,Spectrum_12,Spectrum_13,Spectrum_14,Spectrum_15,Spectrum_16,Spectrum_17,Spectrum_18,Spectrum_19,Spectrum_20,Spectrum_21,Spectrum_22,Spectrum_23,Spectrum_24
Continuum_1,1.647,2.213,3.022,5.249,6.897,7.558,12.242,9.931,8.980,10.337,11.830,14.252,15.782,12.236,9.729,7.817,6.306,5.197,5.654,4.491,3.519,3.112,3.526,2.370
Continuum_2,2.779,2.951,4.124,6.663,8.374,10.233,13.546,11.001,10.585,11.450,14.086,16.026,16.986,13.708,12.870,10.443,8.091,6.297,6.391,5.892,4.877,3.905,4.488,2.987
Continuum_3,2.886,3.021,3.747,5.515,8.192,8.975,12.852,11.939,10.901,13.263,15.359,17.415,18.543,16.464,13.990,10.698,8.655,6.673,6.661,5.813,5.860,4.900,3.813,3.100
