Name,Flux,Error_flux
Hbeta,0.13280191039734948,0.016918562942172706
Halpha,0.5105867159472517,0.015532909461190868
[SII]6716,0.1977989005724976,0.00987651812766753
[SII]6731,0.11383912471670407,0.01040769908764637
HeII4687,0.024107433284566774,0.011626531599655522
HeI5876,0.0,0.014325968088306953
[OIII]4959,0.040638918414489925,0.007876465636250695
[OIII]5007,0.12191675524346977,0.007876465636250695
[OI]6300,0.04055215256140494,0.009729934481577452
[OI]6364,0.01351738418713498,0.009729934481577452
[NII]6548,0.016965968378532877,0.009179736356158324
[NII]6583,0.05089790513559863,0.009179736356158324
