,SNR,Signal,Noise
Spettro_1,1.353,0.019,0.014
Spettro_2,2.999,0.054,0.018
Spettro_3,6.049,0.129,0.021
Spettro_4,18.625,0.354,0.019
Spettro_5,18.117,0.314,0.017
Spettro_6,36.199,0.742,0.020
Spettro_7,127.631,3.328,0.026
Spettro_8,69.244,1.076,0.016
Spettro_9,22.610,0.433,0.019
Spettro_10,18.204,0.350,0.019
Spettro_11,2.777,0.050,0.018
Spettro_12,2.884,0.105,0.037
Spettro_13,4.057,0.112,0.028
Spettro_14,21.425,0.396,0.018
Spettro_15,27.907,0.486,0.017
Spettro_16,5.095,0.089,0.017
Spettro_17,2.922,0.060,0.021
Spettro_18,2.810,0.075,0.027
Spettro_19,5.828,0.058,0.010
Spettro_20,1.404,0.017,0.012
Spettro_21,2.916,0.042,0.014
Spettro_22,3.284,0.049,0.015
Spettro_23,3.382,0.048,0.014
Spettro_24,1.071,0.025,0.023
