,SNR,Signal,Noise
Spettro_1,0.265,0.004,0.014
Spettro_2,0.281,0.005,0.017
Spettro_3,1.960,0.042,0.021
Spettro_4,6.092,0.116,0.019
Spettro_5,4.968,0.086,0.017
Spettro_6,11.927,0.245,0.020
Spettro_7,43.250,1.128,0.026
Spettro_8,23.535,0.366,0.016
Spettro_9,7.866,0.151,0.019
Spettro_10,4.636,0.089,0.019
Spettro_11,-1.758,-0.031,0.018
Spettro_12,0.283,0.009,0.033
Spettro_13,1.393,0.038,0.028
Spettro_14,6.556,0.121,0.018
Spettro_15,8.797,0.153,0.017
Spettro_16,2.654,0.046,0.017
Spettro_17,-0.434,-0.009,0.021
Spettro_18,0.533,0.014,0.027
Spettro_19,1.204,0.012,0.010
Spettro_20,0.677,0.008,0.012
Spettro_21,-0.369,-0.005,0.014
Spettro_22,1.174,0.018,0.015
Spettro_23,0.040,0.001,0.014
Spettro_24,0.058,0.001,0.023
