,SNR,Signal,Noise
Spettro_1,13.120,0.218,0.017
Spettro_2,13.152,0.311,0.024
Spettro_3,104.991,1.765,0.017
Spettro_4,253.675,4.561,0.018
Spettro_5,275.380,5.800,0.021
Spettro_6,246.365,8.628,0.035
Spettro_7,469.194,65.285,0.139
Spettro_8,467.041,21.753,0.047
Spettro_9,107.947,4.082,0.038
Spettro_10,46.805,1.141,0.024
Spettro_11,6.351,0.228,0.036
Spettro_12,4.451,0.151,0.034
Spettro_13,6.471,0.218,0.034
Spettro_14,27.215,1.028,0.038
Spettro_15,38.188,1.261,0.033
Spettro_16,5.506,0.227,0.041
Spettro_17,4.334,0.105,0.024
Spettro_18,3.287,0.079,0.024
Spettro_19,2.546,0.052,0.020
Spettro_20,2.878,0.063,0.022
Spettro_21,5.775,0.106,0.018
Spettro_22,3.569,0.106,0.030
Spettro_23,2.411,0.054,0.022
Spettro_24,5.718,0.113,0.020
