,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4
Continuum_1,0.025,0.033,0.041,0.026
Continuum_2,0.015,0.018,0.024,0.015
Continuum_3,0.011,0.014,0.017,0.010
