Name,Flux,Error_flux
Hgamma,0.17725327006729513,0.044508548029390714
Hbeta,0.568634297074701,0.05312637405484918
Halpha,3.349582266548294,0.074408500895584
[SII]6716,0.26681374869427393,0.017905884241391612
[SII]6731,0.22552076260267964,0.022182716197728894
HeII4687,0.0,0.02922342467547034
HeI5876,0.07903763451817757,0.02243707207912786
[OIII]4959,0.03248531537710771,0.03374629255768009
[OIII]5007,0.09745594613132312,0.03374629255768009
[OI]6300,0.0,0.014328938512130346
[OI]6364,0.0,0.014328938512130346
[NII]6548,0.2912638311144776,0.05940545214906797
[NII]6583,0.8737914933434329,0.05940545214906797
