,SNR,Signal,Noise
Spettro_1,17.667,0.456,0.026
Spettro_2,13.697,0.387,0.028
Spettro_3,14.691,0.537,0.037
Spettro_4,26.253,1.173,0.045
Spettro_5,29.368,1.176,0.040
Spettro_6,24.513,1.222,0.050
Spettro_7,27.768,0.842,0.030
Spettro_8,21.977,0.724,0.033
Spettro_9,16.454,0.721,0.044
Spettro_10,18.552,1.110,0.060
Spettro_11,38.973,1.498,0.038
Spettro_12,64.175,2.904,0.045
Spettro_13,52.235,2.249,0.043
Spettro_14,12.423,0.398,0.032
Spettro_15,3.901,0.180,0.046
Spettro_16,4.780,0.154,0.032
Spettro_17,3.734,0.176,0.047
Spettro_18,3.077,0.107,0.035
Spettro_19,1.668,0.068,0.041
Spettro_20,5.519,0.196,0.035
