,SNR,Signal,Noise
Spettro_1,78.283,2.851,0.036
Spettro_2,70.749,2.934,0.041
Spettro_3,124.447,6.592,0.053
Spettro_4,167.336,9.752,0.058
Spettro_5,174.247,16.494,0.095
Spettro_6,264.942,15.571,0.059
Spettro_7,131.261,8.165,0.062
Spettro_8,86.905,5.654,0.065
Spettro_9,42.167,3.626,0.086
Spettro_10,53.474,5.691,0.106
Spettro_11,62.699,6.004,0.096
Spettro_12,518.481,47.182,0.091
Spettro_13,183.208,13.282,0.072
Spettro_14,14.461,0.848,0.059
Spettro_15,5.240,0.331,0.063
Spettro_16,10.694,0.587,0.055
Spettro_17,4.961,0.275,0.055
Spettro_18,6.284,0.306,0.049
Spettro_19,3.475,0.116,0.034
Spettro_20,13.130,0.566,0.043
