,SNR,Signal,Noise
Spettro_1,25.051,0.904,0.036
Spettro_2,18.344,0.860,0.047
Spettro_3,48.789,2.271,0.047
Spettro_4,72.126,3.175,0.044
Spettro_5,115.037,5.467,0.048
Spettro_6,85.217,5.244,0.062
Spettro_7,69.621,2.685,0.039
Spettro_8,37.235,1.801,0.048
Spettro_9,22.686,1.228,0.054
Spettro_10,27.113,2.065,0.076
Spettro_11,20.364,2.052,0.101
Spettro_12,195.074,16.233,0.083
Spettro_13,52.544,4.268,0.081
Spettro_14,6.185,0.306,0.049
Spettro_15,1.948,0.121,0.062
Spettro_16,1.580,0.094,0.060
Spettro_17,0.334,0.017,0.050
Spettro_18,1.139,0.046,0.040
Spettro_19,3.236,0.123,0.038
Spettro_20,8.064,0.268,0.033
