,SNR,Signal,Noise
Spettro_1,199.293,3.951,0.020
Spettro_2,151.480,3.670,0.024
Spettro_3,207.398,5.188,0.025
Spettro_4,56.853,8.785,0.155
Spettro_5,396.122,11.190,0.028
Spettro_6,518.530,14.770,0.028
Spettro_7,486.913,9.571,0.020
Spettro_8,338.357,7.100,0.021
Spettro_9,154.648,5.627,0.036
Spettro_10,325.401,9.556,0.029
Spettro_11,287.892,10.560,0.037
Spettro_12,1238.634,42.668,0.034
Spettro_13,1033.935,27.461,0.027
Spettro_14,81.931,2.603,0.032
Spettro_15,28.073,0.943,0.034
Spettro_16,32.532,0.778,0.024
Spettro_17,15.027,0.521,0.035
Spettro_18,12.142,0.400,0.033
Spettro_19,24.325,0.482,0.020
Spettro_20,68.298,1.696,0.025
