,SNR,Signal,Noise
Spettro_1,19.400,0.578,0.030
Spettro_2,15.536,0.496,0.032
Spettro_3,34.920,0.702,0.020
Spettro_4,27.002,0.832,0.031
Spettro_5,33.309,1.348,0.040
Spettro_6,33.563,1.235,0.037
Spettro_7,28.650,1.115,0.039
Spettro_8,26.331,0.965,0.037
Spettro_9,16.742,0.833,0.050
Spettro_10,21.021,1.202,0.057
Spettro_11,24.656,1.317,0.053
Spettro_12,39.961,2.064,0.052
Spettro_13,44.540,1.664,0.037
Spettro_14,10.243,0.527,0.051
Spettro_15,5.689,0.238,0.042
Spettro_16,4.858,0.179,0.037
Spettro_17,4.466,0.135,0.030
Spettro_18,7.403,0.186,0.025
Spettro_19,2.365,0.067,0.028
Spettro_20,8.193,0.257,0.031
