,SNR,Signal,Noise
Spettro_1,34.686,0.741,0.021
Spettro_2,27.292,0.664,0.024
Spettro_3,51.641,0.903,0.017
Spettro_4,81.984,1.187,0.014
Spettro_5,102.250,1.787,0.017
Spettro_6,82.085,1.847,0.022
Spettro_7,46.785,1.470,0.031
Spettro_8,55.773,1.306,0.023
Spettro_9,41.570,1.165,0.028
Spettro_10,31.392,1.478,0.047
Spettro_11,47.932,1.940,0.040
Spettro_12,71.994,2.744,0.038
Spettro_13,116.196,2.479,0.021
Spettro_14,24.002,0.784,0.033
Spettro_15,11.769,0.345,0.029
Spettro_16,12.718,0.354,0.028
Spettro_17,8.872,0.236,0.027
Spettro_18,11.436,0.204,0.018
Spettro_19,5.883,0.134,0.023
Spettro_20,15.025,0.396,0.026
