L_c_OIII,sigma_{L_c_OIII},LX,sigma_{LX},Lbol,sigma_{Lbol}
5.82e+38,1.67e+38,6.31e+39,3.67e+39,nan,nan
5.55e+40,1.59e+40,6.6e+41,2.71e+41,nan,nan
4.2e+39,1.21e+39,4.74e+40,2.36e+40,nan,nan
9.28e+38,2.67e+38,1.02e+40,5.7e+39,nan,nan
5.19e+38,1.49e+38,5.62e+39,3.3e+39,nan,nan
7.81e+39,2.25e+39,8.92e+40,4.22e+40,nan,nan
5.73e+39,1.67e+39,6.5e+40,3.17e+40,nan,nan
