,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.9071,2.9775,3.0708,1.5865,6.8512,0.1592
r_e,7.8315,4.0477,5.7541,14.5738,1.0359,11.4326
n,1.9183,3.4782,0.5123,1.4807,0.2692,1.5093
x_0,16.0420,40.9788,60.7001,65.9010,72.2587,90.9406
