,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.6085,3.6215,3.4774,1.8373,1.4105,0.1275
r_e,10.0000,3.4228,5.7906,15.6919,2.6581,12.6426
n,1.6720,3.0905,0.4373,1.5873,1.2892,1.5547
x_0,16.6857,41.6242,61.1757,66.4299,72.8537,91.6536
