,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,1.3895,2.8586,6.5530,9.3926,4.7449,0.9405
r_e,11.1395,4.6726,7.0526,4.5076,5.5229,6.4658
n,2.7466,3.0565,0.8723,0.9653,1.7078,1.4161
x_0,16.7736,41.6152,60.2908,65.6000,72.5763,91.2852
