,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.9136,1.4322,3.9824,1.6045,0.3954,3.7538
r_e,8.5600,7.0615,5.9863,5.9515,33.0200,0.1488
n,2.4134,3.9830,0.3811,1.5118,1.6539,1.3851
x_0,16.2349,41.1008,60.0680,66.1366,72.0753,91.3245
