,Component 1,Component 2,Component 3,Component 4,Component 5,Component 6
I_e,0.4595,10.0000,0.3243,5.6256,1.1042,0.2494
r_e,9.8291,1.7489,46.0134,7.2655,3.7821,6.1754
n,2.1409,2.0377,1.9589,0.9982,2.0369,1.1464
x_0,16.7104,41.6011,59.3210,65.9691,72.5875,91.0886
