,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.019,0.015,0.022,0.040,0.033
Continuum_2,0.013,0.012,0.014,0.034,0.017
Continuum_3,0.022,0.013,0.016,0.031,0.018
