,Spectrum_1,Spectrum_2,Spectrum_3,Spectrum_4,Spectrum_5
Continuum_1,0.222,0.195,0.252,0.656,0.291
Continuum_2,0.159,0.163,0.178,0.417,0.141
Continuum_3,0.129,0.142,0.141,0.308,0.092
