,Component 1,Component 2,Component 3,Component 4
I_e error,0.0268,0.0580,3.8227,0.0120
r_e error,288.4497,11.8934,8.6047,14.3614
n error,7.3741,0.3471,1.6056,0.4729
x_0 error,0.0009,0.0605,0.2476,0.5326
