,Component 1,Component 2,Component 3,Component 4
I_e error,0.0095,0.0472,0.0503,0.0110
r_e error,8.4406,0.4302,1.0537,2.5956
n error,0.2276,0.0949,0.2438,0.1194
x_0 error,0.0429,0.0371,0.1130,0.3159
