,Component 1,Component 2,Component 3,Component 4
I_e error,0.1225,0.0381,0.2116,0.0119
r_e error,0.3208,1.0382,0.2698,14.9754
n error,0.1850,0.0757,0.2135,0.5001
x_0 error,0.0612,0.0482,0.1193,0.2090
