,Component 1,Component 2,Component 3,Component 4
I_e,0.0351,0.4169,0.0371,0.0458
r_e,32.0648,4.4307,14.3902,17.6900
n,1.7139,1.2152,1.8448,1.1730
x_0,35.2776,48.2909,55.1237,66.7847
