,Component 1,Component 2,Component 3,Component 4
I_e,0.5337,0.3809,0.7630,0.0171
r_e,2.4038,14.5117,1.7979,26.2604
n,1.0109,1.9113,0.5319,2.1757
x_0,34.0353,47.9434,53.8585,67.4571
