,Component 1,Component 2,Component 3,Component 4
I_e,0.1560,1.0638,0.6179,0.5895
r_e,8.9419,33.4320,1.7694,9.1528
n,3.3877,2.1918,1.5656,0.8896
x_0,35.1785,47.8549,54.7370,65.9159
